"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","4701 Louisiana Ave N"
"Comments:","at 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/08/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Westbound","Eastbound","Total"
07/10/2025 09:00 - 09:59,16,16,32
07/10/2025 10:00 - 10:59,4,4,8
07/10/2025 11:00 - 11:59,15,8,23
07/10/2025 12:00 - 12:59,14,13,27
07/10/2025 13:00 - 13:59,16,10,26
07/10/2025 14:00 - 14:59,18,20,38
07/10/2025 15:00 - 15:59,10,10,20
07/10/2025 16:00 - 16:59,34,14,48
07/10/2025 17:00 - 17:59,24,14,38
07/10/2025 18:00 - 18:59,7,20,27
07/10/2025 19:00 - 19:59,12,4,16
07/10/2025 20:00 - 20:59,10,6,16
07/10/2025 21:00 - 21:59,6,12,18
07/10/2025 22:00 - 22:59,6,4,10
07/10/2025 23:00 - 23:59,8,6,14
07/11/2025 00:00 - 00:59,0,0,0
07/11/2025 01:00 - 01:59,4,4,8
07/11/2025 02:00 - 02:59,2,0,2
07/11/2025 03:00 - 03:59,0,0,0
07/11/2025 04:00 - 04:59,0,0,0
07/11/2025 05:00 - 05:59,2,4,6
07/11/2025 06:00 - 06:59,8,2,10
07/11/2025 07:00 - 07:59,12,8,20
07/11/2025 08:00 - 08:59,20,10,30
07/11/2025 09:00 - 09:59,14,6,20
07/11/2025 10:00 - 10:59,25,12,37
07/11/2025 11:00 - 11:59,13,20,33
07/11/2025 12:00 - 12:59,25,10,35
07/11/2025 13:00 - 13:59,26,15,41
07/11/2025 14:00 - 14:59,18,14,32
07/11/2025 15:00 - 15:59,16,12,28
07/11/2025 16:00 - 16:59,18,12,30
07/11/2025 17:00 - 17:59,38,18,56
07/11/2025 18:00 - 18:59,17,6,23
07/11/2025 19:00 - 19:59,14,8,22
07/11/2025 20:00 - 20:59,18,14,32
07/11/2025 21:00 - 21:59,10,10,20
07/11/2025 22:00 - 22:59,14,14,28
07/11/2025 23:00 - 23:59,6,10,16
07/12/2025 00:00 - 00:59,2,0,2
07/12/2025 01:00 - 01:59,6,2,8
07/12/2025 02:00 - 02:59,0,2,2
07/12/2025 03:00 - 03:59,2,0,2
07/12/2025 04:00 - 04:59,0,0,0
07/12/2025 05:00 - 05:59,2,0,2
07/12/2025 06:00 - 06:59,6,2,8
07/12/2025 07:00 - 07:59,14,0,14
07/12/2025 08:00 - 08:59,18,8,26
07/12/2025 09:00 - 09:59,16,14,30
07/12/2025 10:00 - 10:59,10,10,20
07/12/2025 11:00 - 11:59,8,10,18
07/12/2025 12:00 - 12:59,24,8,32
07/12/2025 13:00 - 13:59,10,10,20
07/12/2025 14:00 - 14:59,30,10,40
07/12/2025 15:00 - 15:59,22,22,44
07/12/2025 16:00 - 16:59,21,21,42
07/12/2025 17:00 - 17:59,20,14,34
07/12/2025 18:00 - 18:59,20,14,34
07/12/2025 19:00 - 19:59,10,10,20
07/12/2025 20:00 - 20:59,14,4,18
07/12/2025 21:00 - 21:59,12,12,24
07/12/2025 22:00 - 22:59,6,2,8
07/12/2025 23:00 - 23:59,2,4,6
07/13/2025 00:00 - 00:59,2,2,4
07/13/2025 01:00 - 01:59,0,0,0
07/13/2025 02:00 - 02:59,2,2,4
07/13/2025 03:00 - 03:59,0,0,0
07/13/2025 04:00 - 04:59,0,2,2
07/13/2025 05:00 - 05:59,4,0,4
07/13/2025 06:00 - 06:59,0,8,8
07/13/2025 07:00 - 07:59,6,8,14
07/13/2025 08:00 - 08:59,14,12,26
07/13/2025 09:00 - 09:59,8,4,12
07/13/2025 10:00 - 10:59,11,12,23
07/13/2025 11:00 - 11:59,14,2,16
07/13/2025 12:00 - 12:59,20,20,40
07/13/2025 13:00 - 13:59,6,16,22
07/13/2025 14:00 - 14:59,16,12,28
07/13/2025 15:00 - 15:59,22,12,34
07/13/2025 16:00 - 16:59,14,16,30
07/13/2025 17:00 - 17:59,14,16,30
07/13/2025 18:00 - 18:59,14,10,24
07/13/2025 19:00 - 19:59,12,2,14
07/13/2025 20:00 - 20:59,21,10,31
07/13/2025 21:00 - 21:59,12,8,20
07/13/2025 22:00 - 22:59,4,8,12
07/13/2025 23:00 - 23:59,4,6,10
07/14/2025 00:00 - 00:59,2,2,4
07/14/2025 01:00 - 01:59,0,0,0
07/14/2025 02:00 - 02:59,0,2,2
07/14/2025 03:00 - 03:59,0,0,0
07/14/2025 04:00 - 04:59,2,0,2
07/14/2025 05:00 - 05:59,0,4,4
07/14/2025 06:00 - 06:59,12,2,14
07/14/2025 07:00 - 07:59,14,16,30
07/14/2025 08:00 - 08:59,18,14,32
07/14/2025 09:00 - 09:59,16,16,32
07/14/2025 10:00 - 10:59,6,8,14
07/14/2025 11:00 - 11:59,16,10,26
07/14/2025 12:00 - 12:59,20,14,34
07/14/2025 13:00 - 13:59,12,8,20
07/14/2025 14:00 - 14:59,16,14,30
07/14/2025 15:00 - 15:59,13,24,37
07/14/2025 16:00 - 16:59,20,8,28
07/14/2025 17:00 - 17:59,26,14,40
07/14/2025 18:00 - 18:59,26,12,38
07/14/2025 19:00 - 19:59,20,20,40
07/14/2025 20:00 - 20:59,10,18,28
07/14/2025 21:00 - 21:59,16,12,28
07/14/2025 22:00 - 22:59,2,10,12
07/14/2025 23:00 - 23:59,4,0,4
07/15/2025 00:00 - 00:59,2,2,4
07/15/2025 01:00 - 01:59,0,0,0
07/15/2025 02:00 - 02:59,0,2,2
07/15/2025 03:00 - 03:59,0,0,0
07/15/2025 04:00 - 04:59,2,0,2
07/15/2025 05:00 - 05:59,0,0,0
07/15/2025 06:00 - 06:59,12,14,26
07/15/2025 07:00 - 07:59,10,20,30
07/15/2025 08:00 - 08:59,26,18,44
07/15/2025 09:00 - 09:59,20,6,26
07/15/2025 10:00 - 10:59,28,6,34
07/15/2025 11:00 - 11:59,18,20,38
07/15/2025 12:00 - 12:59,29,24,53
