"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6218 38th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","08/19/2025"
"Start Time:","00:00"
"Export Version:","VolumeAxle V1.03"
"Interval:","60 Min"
"Title:","Axle Volume"
"Date/Time","Westbound","Eastbound","Total"
08/21/2025 16:00 - 16:59,47,44,91
08/21/2025 17:00 - 17:59,50,58,108
08/21/2025 18:00 - 18:59,52,32,84
08/21/2025 19:00 - 19:59,14,48,62
08/21/2025 20:00 - 20:59,24,34,58
08/21/2025 21:00 - 21:59,22,22,44
08/21/2025 22:00 - 22:59,8,12,20
08/21/2025 23:00 - 23:59,2,6,8
08/22/2025 00:00 - 00:59,2,0,2
08/22/2025 01:00 - 01:59,2,0,2
08/22/2025 02:00 - 02:59,2,4,6
08/22/2025 03:00 - 03:59,0,0,0
08/22/2025 04:00 - 04:59,6,2,8
08/22/2025 05:00 - 05:59,19,6,25
08/22/2025 06:00 - 06:59,14,10,24
08/22/2025 07:00 - 07:59,44,14,58
08/22/2025 08:00 - 08:59,27,18,45
08/22/2025 09:00 - 09:59,38,33,71
08/22/2025 10:00 - 10:59,34,28,62
08/22/2025 11:00 - 11:59,34,24,58
08/22/2025 12:00 - 12:59,42,30,72
08/22/2025 13:00 - 13:59,48,38,86
08/22/2025 14:00 - 14:59,26,40,66
08/22/2025 15:00 - 15:59,42,28,70
08/22/2025 16:00 - 16:59,29,32,61
08/22/2025 17:00 - 17:59,32,32,64
08/22/2025 18:00 - 18:59,34,44,78
08/22/2025 19:00 - 19:59,26,24,50
08/22/2025 20:00 - 20:59,16,26,42
08/22/2025 21:00 - 21:59,10,4,14
08/22/2025 22:00 - 22:59,12,18,30
08/22/2025 23:00 - 23:59,6,8,14
08/23/2025 00:00 - 00:59,0,6,6
08/23/2025 01:00 - 01:59,0,4,4
08/23/2025 02:00 - 02:59,0,0,0
08/23/2025 03:00 - 03:59,0,0,0
08/23/2025 04:00 - 04:59,0,2,2
08/23/2025 05:00 - 05:59,6,2,8
08/23/2025 06:00 - 06:59,4,4,8
08/23/2025 07:00 - 07:59,7,0,7
08/23/2025 08:00 - 08:59,26,10,36
08/23/2025 09:00 - 09:59,30,23,53
08/23/2025 10:00 - 10:59,53,30,83
08/23/2025 11:00 - 11:59,38,22,60
08/23/2025 12:00 - 12:59,28,34,62
08/23/2025 13:00 - 13:59,46,34,80
08/23/2025 14:00 - 14:59,26,26,52
08/23/2025 15:00 - 15:59,46,34,80
08/23/2025 16:00 - 16:59,22,34,56
08/23/2025 17:00 - 17:59,36,32,68
08/23/2025 18:00 - 18:59,29,24,53
08/23/2025 19:00 - 19:59,10,25,35
08/23/2025 20:00 - 20:59,24,24,48
08/23/2025 21:00 - 21:59,6,26,32
08/23/2025 22:00 - 22:59,12,16,28
08/23/2025 23:00 - 23:59,4,4,8
08/24/2025 00:00 - 00:59,10,6,16
08/24/2025 01:00 - 01:59,0,0,0
08/24/2025 02:00 - 02:59,2,0,2
08/24/2025 03:00 - 03:59,0,0,0
08/24/2025 04:00 - 04:59,2,0,2
08/24/2025 05:00 - 05:59,0,4,4
08/24/2025 06:00 - 06:59,4,6,10
08/24/2025 07:00 - 07:59,14,10,24
08/24/2025 08:00 - 08:59,18,10,28
08/24/2025 09:00 - 09:59,30,40,70
08/24/2025 10:00 - 10:59,24,44,68
08/24/2025 11:00 - 11:59,72,28,100
08/24/2025 12:00 - 12:59,54,32,86
08/24/2025 13:00 - 13:59,34,29,63
08/24/2025 14:00 - 14:59,32,30,62
08/24/2025 15:00 - 15:59,38,40,78
08/24/2025 16:00 - 16:59,47,50,97
08/24/2025 17:00 - 17:59,31,31,62
08/24/2025 18:00 - 18:59,36,24,60
08/24/2025 19:00 - 19:59,24,16,40
08/24/2025 20:00 - 20:59,16,26,42
08/24/2025 21:00 - 21:59,10,12,22
08/24/2025 22:00 - 22:59,10,10,20
08/24/2025 23:00 - 23:59,0,2,2
08/25/2025 00:00 - 00:59,0,0,0
08/25/2025 01:00 - 01:59,2,0,2
08/25/2025 02:00 - 02:59,0,0,0
08/25/2025 03:00 - 03:59,0,0,0
08/25/2025 04:00 - 04:59,4,2,6
08/25/2025 05:00 - 05:59,10,2,12
08/25/2025 06:00 - 06:59,20,12,32
08/25/2025 07:00 - 07:59,40,14,54
08/25/2025 08:00 - 08:59,26,20,46
08/25/2025 09:00 - 09:59,32,28,60
08/25/2025 10:00 - 10:59,41,38,79
08/25/2025 11:00 - 11:59,26,12,38
08/25/2025 12:00 - 12:59,43,38,81
08/25/2025 13:00 - 13:59,22,26,48
08/25/2025 14:00 - 14:59,39,23,62
08/25/2025 15:00 - 15:59,22,40,62
08/25/2025 16:00 - 16:59,65,72,137
08/25/2025 17:00 - 17:59,26,56,82
08/25/2025 18:00 - 18:59,24,54,78
08/25/2025 19:00 - 19:59,18,18,36
08/25/2025 20:00 - 20:59,32,22,54
08/25/2025 21:00 - 21:59,12,16,28
08/25/2025 22:00 - 22:59,4,8,12
08/25/2025 23:00 - 23:59,2,4,6
08/26/2025 00:00 - 00:59,0,0,0
08/26/2025 01:00 - 01:59,0,0,0
08/26/2025 02:00 - 02:59,0,0,0
08/26/2025 03:00 - 03:59,4,0,4
08/26/2025 04:00 - 04:59,4,0,4
08/26/2025 05:00 - 05:59,6,10,16
08/26/2025 06:00 - 06:59,20,8,28
08/26/2025 07:00 - 07:59,52,26,78
08/26/2025 08:00 - 08:59,34,22,56
08/26/2025 09:00 - 09:59,30,14,44
08/26/2025 10:00 - 10:59,34,20,54
08/26/2025 11:00 - 11:59,48,26,74
08/26/2025 12:00 - 12:59,30,36,66
08/26/2025 13:00 - 13:59,32,24,56
08/26/2025 14:00 - 14:59,18,33,51
08/26/2025 15:00 - 15:59,28,56,84
08/26/2025 16:00 - 16:59,32,35,67
08/26/2025 17:00 - 17:59,42,36,78
08/26/2025 18:00 - 18:59,32,40,72
08/26/2025 19:00 - 19:59,24,22,46
08/26/2025 20:00 - 20:59,16,26,42
08/26/2025 21:00 - 21:59,2,6,8
08/26/2025 22:00 - 22:59,14,16,30
08/26/2025 23:00 - 23:59,0,2,2
08/27/2025 00:00 - 00:59,0,0,0
08/27/2025 01:00 - 01:59,2,0,2
08/27/2025 02:00 - 02:59,0,2,2
08/27/2025 03:00 - 03:59,2,0,2
08/27/2025 04:00 - 04:59,6,0,6
08/27/2025 05:00 - 05:59,8,8,16
08/27/2025 06:00 - 06:59,21,18,39
08/27/2025 07:00 - 07:59,38,22,60
08/27/2025 08:00 - 08:59,45,26,71
08/27/2025 09:00 - 09:59,28,14,42
08/27/2025 10:00 - 10:59,33,23,56
08/27/2025 11:00 - 11:59,40,28,68
08/27/2025 12:00 - 12:59,25,20,45
08/27/2025 13:00 - 13:59,34,28,62
08/27/2025 14:00 - 14:59,38,39,77
08/27/2025 15:00 - 15:59,40,36,76
08/27/2025 16:00 - 16:59,60,68,128
08/27/2025 17:00 - 17:59,30,48,78
08/27/2025 18:00 - 18:59,29,42,71
08/27/2025 19:00 - 19:59,28,32,60
08/27/2025 20:00 - 20:59,24,29,53
08/27/2025 21:00 - 21:59,18,16,34
08/27/2025 22:00 - 22:59,6,8,14
08/27/2025 23:00 - 23:59,10,2,12
08/28/2025 00:00 - 00:59,0,0,0
08/28/2025 01:00 - 01:59,0,4,4
08/28/2025 02:00 - 02:59,2,2,4
08/28/2025 03:00 - 03:59,0,0,0
08/28/2025 04:00 - 04:59,4,2,6
08/28/2025 05:00 - 05:59,10,0,10
08/28/2025 06:00 - 06:59,10,10,20
08/28/2025 07:00 - 07:59,31,12,43
08/28/2025 08:00 - 08:59,32,20,52
08/28/2025 09:00 - 09:59,38,29,67
08/28/2025 10:00 - 10:59,0,6,6
