"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:","7206 58th Ave N"
"Location:","7206 58th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","05/13/2025"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Westbound","Eastbound","Total"
05/16/2025 04:00 - 04:59,3,4,7
05/16/2025 05:00 - 05:59,7,16,23
05/16/2025 06:00 - 06:59,16,15,31
05/16/2025 07:00 - 07:59,21,49,70
05/16/2025 08:00 - 08:59,21,37,58
05/16/2025 09:00 - 09:59,16,48,64
05/16/2025 10:00 - 10:59,24,34,58
05/16/2025 11:00 - 11:59,25,40,65
05/16/2025 12:00 - 12:59,21,38,59
05/16/2025 13:00 - 13:59,29,40,69
05/16/2025 14:00 - 14:59,34,46,80
05/16/2025 15:00 - 15:59,37,51,88
05/16/2025 16:00 - 16:59,42,63,105
05/16/2025 17:00 - 17:59,48,49,97
05/16/2025 18:00 - 18:59,34,31,65
05/16/2025 19:00 - 19:59,31,33,64
05/16/2025 20:00 - 20:59,24,29,53
05/16/2025 21:00 - 21:59,23,21,44
05/16/2025 22:00 - 22:59,16,21,37
05/16/2025 23:00 - 23:59,10,11,21
05/17/2025 00:00 - 00:59,6,5,11
05/17/2025 01:00 - 01:59,3,4,7
05/17/2025 02:00 - 02:59,2,4,6
05/17/2025 03:00 - 03:59,2,7,9
05/17/2025 04:00 - 04:59,5,4,9
05/17/2025 05:00 - 05:59,3,5,8
05/17/2025 06:00 - 06:59,8,13,21
05/17/2025 07:00 - 07:59,9,21,30
05/17/2025 08:00 - 08:59,18,19,37
05/17/2025 09:00 - 09:59,28,34,62
05/17/2025 10:00 - 10:59,26,39,65
05/17/2025 11:00 - 11:59,26,42,68
05/17/2025 12:00 - 12:59,39,41,80
05/17/2025 13:00 - 13:59,35,43,78
05/17/2025 14:00 - 14:59,35,48,83
05/17/2025 15:00 - 15:59,38,46,84
05/17/2025 16:00 - 16:59,28,42,70
05/17/2025 17:00 - 17:59,26,32,58
05/17/2025 18:00 - 18:59,28,37,65
05/17/2025 19:00 - 19:59,28,31,59
05/17/2025 20:00 - 20:59,25,24,49
05/17/2025 21:00 - 21:59,13,22,35
05/17/2025 22:00 - 22:59,11,17,28
05/17/2025 23:00 - 23:59,7,13,20
05/18/2025 00:00 - 00:59,2,3,5
05/18/2025 01:00 - 01:59,4,11,15
05/18/2025 02:00 - 02:59,3,1,4
05/18/2025 03:00 - 03:59,2,9,11
05/18/2025 04:00 - 04:59,1,2,3
05/18/2025 05:00 - 05:59,2,0,2
05/18/2025 06:00 - 06:59,6,4,10
05/18/2025 07:00 - 07:59,6,10,16
05/18/2025 08:00 - 08:59,13,16,29
05/18/2025 09:00 - 09:59,13,25,38
05/18/2025 10:00 - 10:59,20,36,56
05/18/2025 11:00 - 11:59,20,41,61
05/18/2025 12:00 - 12:59,37,49,86
05/18/2025 13:00 - 13:59,30,33,63
05/18/2025 14:00 - 14:59,25,37,62
05/18/2025 15:00 - 15:59,41,46,87
05/18/2025 16:00 - 16:59,28,40,68
05/18/2025 17:00 - 17:59,29,35,64
05/18/2025 18:00 - 18:59,19,33,52
05/18/2025 19:00 - 19:59,21,26,47
05/18/2025 20:00 - 20:59,22,35,57
05/18/2025 21:00 - 21:59,14,12,26
05/18/2025 22:00 - 22:59,15,9,24
05/18/2025 23:00 - 23:59,6,8,14
05/19/2025 00:00 - 00:59,8,6,14
05/19/2025 01:00 - 01:59,4,3,7
05/19/2025 02:00 - 02:59,5,2,7
05/19/2025 03:00 - 03:59,2,2,4
05/19/2025 04:00 - 04:59,6,4,10
05/19/2025 05:00 - 05:59,7,11,18
05/19/2025 06:00 - 06:59,15,19,34
05/19/2025 07:00 - 07:59,24,45,69
05/19/2025 08:00 - 08:59,29,35,64
05/19/2025 09:00 - 09:59,22,40,62
05/19/2025 10:00 - 10:59,22,27,49
05/19/2025 11:00 - 11:59,16,29,45
05/19/2025 12:00 - 12:59,21,39,60
05/19/2025 13:00 - 13:59,27,25,52
05/19/2025 14:00 - 14:59,24,45,69
05/19/2025 15:00 - 15:59,28,56,84
05/19/2025 16:00 - 16:59,37,57,94
05/19/2025 17:00 - 17:59,48,46,94
05/19/2025 18:00 - 18:59,31,41,72
05/19/2025 19:00 - 19:59,34,34,68
05/19/2025 20:00 - 20:59,19,26,45
05/19/2025 21:00 - 21:59,19,15,34
05/19/2025 22:00 - 22:59,14,12,26
05/19/2025 23:00 - 23:59,7,7,14
05/20/2025 00:00 - 00:59,3,2,5
05/20/2025 01:00 - 01:59,2,2,4
05/20/2025 02:00 - 02:59,6,1,7
05/20/2025 03:00 - 03:59,4,1,5
05/20/2025 04:00 - 04:59,4,4,8
05/20/2025 05:00 - 05:59,3,7,10
05/20/2025 06:00 - 06:59,9,17,26
05/20/2025 07:00 - 07:59,22,41,63
05/20/2025 08:00 - 08:59,18,35,53
05/20/2025 09:00 - 09:59,14,30,44
05/20/2025 10:00 - 10:59,16,26,42
05/20/2025 11:00 - 11:59,16,27,43
05/20/2025 12:00 - 12:59,19,32,51
05/20/2025 13:00 - 13:59,28,32,60
05/20/2025 14:00 - 14:59,28,40,68
05/20/2025 15:00 - 15:59,0,1,1
