"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:","4017 Jersey Ave"
"Location:","4017 Jersey Ave N"
"Comments:","Winter accident follow-up."
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","04/23/2025"
"Start Time:","00:00"
"Export Version:","Volume V1.03"
"Interval:","60 Min"
"Title:","Vehicle Volume"
"Date/Time","Southbound","Northbound","Total"
05/01/2025 14:00 - 14:59,8,5,13
05/01/2025 15:00 - 15:59,5,3,8
05/01/2025 16:00 - 16:59,8,3,11
05/01/2025 17:00 - 17:59,5,2,7
05/01/2025 18:00 - 18:59,5,3,8
05/01/2025 19:00 - 19:59,3,1,4
05/01/2025 20:00 - 20:59,4,0,4
05/01/2025 21:00 - 21:59,2,5,7
05/01/2025 22:00 - 22:59,3,0,3
05/01/2025 23:00 - 23:59,2,0,2
05/02/2025 00:00 - 00:59,0,0,0
05/02/2025 01:00 - 01:59,0,0,0
05/02/2025 02:00 - 02:59,0,0,0
05/02/2025 03:00 - 03:59,1,0,1
05/02/2025 04:00 - 04:59,1,1,2
05/02/2025 05:00 - 05:59,0,1,1
05/02/2025 06:00 - 06:59,1,3,4
